#oID	individual	descriptor	value
12348	1	BAKERY	0
12748	1	BAKERY	0
13187	1	BAKERY	0
13204	1	BAKERY	0
13216	1	BAKERY	0
13436	1	BAKERY	0
14328	1	BAKERY	0
15606	1	BAKERY	0
22386	1	BAKERY	0
24020	1	BAKERY	0
24473	1	BAKERY	0
31210	1	BAKERY	0
31266	1	BAKERY	0
33032	1	BAKERY	0
61024	1	BAKERY	0
61151	1	BAKERY	0
61155	1	BAKERY	0
61177	1	BAKERY	0
61252	1	BAKERY	0
61771	1	BAKERY	0
62572	1	BAKERY	0
520108	1	BAKERY	0
638024	1	BAKERY	0
641256	1	BAKERY	0
778574	1	BAKERY	0
1549778	1	BAKERY	0
1550470	1	BAKERY	0
5352539	1	BAKERY	0
5355850	1	BAKERY	0
5363233	1	BAKERY	0
5367698	1	BAKERY	0
6114390	1	BAKERY	56
16220109	1	BAKERY	0
243	1	SWEET	0
454	1	SWEET	0
679	1	SWEET	82
1030	1	SWEET	0
1060	1	SWEET	0
2682	1	SWEET	0
6137	1	SWEET	0
6386	1	SWEET	0
6826	1	SWEET	0
6989	1	SWEET	0
7047	1	SWEET	0
7409	1	SWEET	0
7601	1	SWEET	0
7632	1	SWEET	0
7792	1	SWEET	77
7820	1	SWEET	0
7826	1	SWEET	78
8038	1	SWEET	0
8048	1	SWEET	76
8051	1	SWEET	0
8078	1	SWEET	8
8137	1	SWEET	0
8159	1	SWEET	0
8163	1	SWEET	0
8175	1	SWEET	0
8180	1	SWEET	0
8205	1	SWEET	0
8294	1	SWEET	0
8452	1	SWEET	0
8467	1	SWEET	84
8615	1	SWEET	0
9024	1	SWEET	19
10722	1	SWEET	72
11124	1	SWEET	0
11419	1	SWEET	0
12206	1	SWEET	0
12348	1	SWEET	75
12748	1	SWEET	0
13187	1	SWEET	98
13204	1	SWEET	11
13216	1	SWEET	0
13436	1	SWEET	0
14328	1	SWEET	73
15606	1	SWEET	54
22386	1	SWEET	0
24020	1	SWEET	77
24473	1	SWEET	77
31210	1	SWEET	68
31266	1	SWEET	70
33032	1	SWEET	3
61024	1	SWEET	7
61151	1	SWEET	76
61155	1	SWEET	0
61177	1	SWEET	0
61252	1	SWEET	0
61771	1	SWEET	57
62572	1	SWEET	0
520108	1	SWEET	0
638024	1	SWEET	8
641256	1	SWEET	4
778574	1	SWEET	0
1549778	1	SWEET	0
1550470	1	SWEET	0
5352539	1	SWEET	0
5355850	1	SWEET	7
5363233	1	SWEET	0
5367698	1	SWEET	0
6114390	1	SWEET	51
16220109	1	SWEET	0
243	1	FRUIT	0
454	1	FRUIT	0
679	1	FRUIT	0
1030	1	FRUIT	0
1060	1	FRUIT	0
2682	1	FRUIT	0
6137	1	FRUIT	0
6386	1	FRUIT	0
6826	1	FRUIT	0
6989	1	FRUIT	0
7047	1	FRUIT	0
7409	1	FRUIT	0
7601	1	FRUIT	0
7632	1	FRUIT	0
7792	1	FRUIT	75
7820	1	FRUIT	0
7826	1	FRUIT	78
8038	1	FRUIT	0
8048	1	FRUIT	0
8051	1	FRUIT	0
8078	1	FRUIT	0
8137	1	FRUIT	0
8159	1	FRUIT	0
8163	1	FRUIT	0
8175	1	FRUIT	0
8180	1	FRUIT	0
8205	1	FRUIT	0
8294	1	FRUIT	0
8452	1	FRUIT	0
8467	1	FRUIT	0
8615	1	FRUIT	0
9024	1	FRUIT	0
10722	1	FRUIT	70
11124	1	FRUIT	0
11419	1	FRUIT	0
12206	1	FRUIT	0
12348	1	FRUIT	0
12748	1	FRUIT	0
13187	1	FRUIT	96
13204	1	FRUIT	0
13216	1	FRUIT	0
13436	1	FRUIT	0
14328	1	FRUIT	0
15606	1	FRUIT	62
22386	1	FRUIT	0
24020	1	FRUIT	79
24473	1	FRUIT	55
31210	1	FRUIT	0
31266	1	FRUIT	36
33032	1	FRUIT	0
61024	1	FRUIT	0
61151	1	FRUIT	0
61155	1	FRUIT	0
61177	1	FRUIT	0
61252	1	FRUIT	0
61771	1	FRUIT	0
62572	1	FRUIT	0
520108	1	FRUIT	0
638024	1	FRUIT	0
641256	1	FRUIT	0
778574	1	FRUIT	0
1549778	1	FRUIT	0
1550470	1	FRUIT	0
5352539	1	FRUIT	0
5355850	1	FRUIT	0
5363233	1	FRUIT	0
5367698	1	FRUIT	0
6114390	1	FRUIT	59
16220109	1	FRUIT	0
243	1	FISH	0
454	1	FISH	0
679	1	FISH	0
1030	1	FISH	0
1060	1	FISH	0
2682	1	FISH	0
6137	1	FISH	0
6386	1	FISH	0
6826	1	FISH	0
6989	1	FISH	0
7047	1	FISH	0
7409	1	FISH	0
7601	1	FISH	0
7632	1	FISH	0
7792	1	FISH	0
7820	1	FISH	0
7826	1	FISH	0
8038	1	FISH	0
8048	1	FISH	0
8051	1	FISH	0
8078	1	FISH	0
8137	1	FISH	0
8159	1	FISH	0
8163	1	FISH	0
8175	1	FISH	0
8180	1	FISH	0
8205	1	FISH	0
8294	1	FISH	0
8452	1	FISH	0
8467	1	FISH	0
8615	1	FISH	0
9024	1	FISH	0
10722	1	FISH	0
11124	1	FISH	0
11419	1	FISH	0
12206	1	FISH	0
12348	1	FISH	0
12748	1	FISH	0
13187	1	FISH	0
13204	1	FISH	0
13216	1	FISH	0
13436	1	FISH	0
14328	1	FISH	0
15606	1	FISH	0
22386	1	FISH	0
24020	1	FISH	0
24473	1	FISH	0
31210	1	FISH	0
31266	1	FISH	0
33032	1	FISH	0
61024	1	FISH	0
61151	1	FISH	0
61155	1	FISH	0
61177	1	FISH	0
61252	1	FISH	0
61771	1	FISH	0
62572	1	FISH	0
520108	1	FISH	0
638024	1	FISH	0
641256	1	FISH	0
778574	1	FISH	0
1549778	1	FISH	0
1550470	1	FISH	0
5352539	1	FISH	0
5355850	1	FISH	0
5363233	1	FISH	0
5367698	1	FISH	0
6114390	1	FISH	0
16220109	1	FISH	0
243	1	GARLIC	0
454	1	GARLIC	0
679	1	GARLIC	0
1030	1	GARLIC	0
1060	1	GARLIC	0
2682	1	GARLIC	0
6137	1	GARLIC	0
6386	1	GARLIC	0
6826	1	GARLIC	0
6989	1	GARLIC	0
7047	1	GARLIC	0
7409	1	GARLIC	0
7601	1	GARLIC	0
7632	1	GARLIC	0
7792	1	GARLIC	0
7820	1	GARLIC	0
7826	1	GARLIC	0
8038	1	GARLIC	0
8048	1	GARLIC	0
8051	1	GARLIC	0
8078	1	GARLIC	0
8137	1	GARLIC	0
8159	1	GARLIC	0
8163	1	GARLIC	0
8175	1	GARLIC	0
8180	1	GARLIC	0
8205	1	GARLIC	0
8294	1	GARLIC	0
8452	1	GARLIC	0
8467	1	GARLIC	0
8615	1	GARLIC	0
9024	1	GARLIC	0
10722	1	GARLIC	0
11124	1	GARLIC	0
11419	1	GARLIC	0
12206	1	GARLIC	0
12348	1	GARLIC	0
12748	1	GARLIC	0
13187	1	GARLIC	0
13204	1	GARLIC	0
13216	1	GARLIC	0
13436	1	GARLIC	0
14328	1	GARLIC	0
15606	1	GARLIC	0
22386	1	GARLIC	0
24020	1	GARLIC	0
24473	1	GARLIC	0
31210	1	GARLIC	0
31266	1	GARLIC	0
33032	1	GARLIC	0
61024	1	GARLIC	0
61151	1	GARLIC	0
61155	1	GARLIC	0
61177	1	GARLIC	0
61252	1	GARLIC	0
61771	1	GARLIC	0
62572	1	GARLIC	0
520108	1	GARLIC	0
638024	1	GARLIC	0
641256	1	GARLIC	0
778574	1	GARLIC	0
1549778	1	GARLIC	0
1550470	1	GARLIC	0
5352539	1	GARLIC	0
5355850	1	GARLIC	0
5363233	1	GARLIC	0
5367698	1	GARLIC	0
6114390	1	GARLIC	0
16220109	1	GARLIC	0
243	1	SPICES	0
454	1	SPICES	0
679	1	SPICES	0
1030	1	SPICES	0
1060	1	SPICES	0
2682	1	SPICES	0
6137	1	SPICES	0
6386	1	SPICES	0
6826	1	SPICES	0
6989	1	SPICES	16
7047	1	SPICES	0
7409	1	SPICES	0
7601	1	SPICES	0
7632	1	SPICES	0
7792	1	SPICES	66
7820	1	SPICES	0
7826	1	SPICES	0
8038	1	SPICES	0
8048	1	SPICES	78
8051	1	SPICES	0
8078	1	SPICES	0
8137	1	SPICES	0
8159	1	SPICES	0
8163	1	SPICES	0
8175	1	SPICES	0
8180	1	SPICES	0
8205	1	SPICES	54
8294	1	SPICES	0
8452	1	SPICES	0
8467	1	SPICES	0
8615	1	SPICES	0
9024	1	SPICES	0
10722	1	SPICES	70
11124	1	SPICES	76
11419	1	SPICES	0
12206	1	SPICES	0
12348	1	SPICES	0
12748	1	SPICES	0
13187	1	SPICES	0
13204	1	SPICES	0
13216	1	SPICES	0
13436	1	SPICES	0
14328	1	SPICES	0
15606	1	SPICES	57
22386	1	SPICES	0
24020	1	SPICES	0
24473	1	SPICES	74
31210	1	SPICES	49
31266	1	SPICES	24
33032	1	SPICES	0
61024	1	SPICES	0
61151	1	SPICES	0
61155	1	SPICES	0
61177	1	SPICES	0
61252	1	SPICES	0
61771	1	SPICES	58
62572	1	SPICES	0
520108	1	SPICES	0
638024	1	SPICES	0
641256	1	SPICES	0
778574	1	SPICES	0
1549778	1	SPICES	0
1550470	1	SPICES	0
5352539	1	SPICES	0
5355850	1	SPICES	13
5363233	1	SPICES	0
5367698	1	SPICES	0
6114390	1	SPICES	54
16220109	1	SPICES	0
243	1	COLD	0
454	1	COLD	0
679	1	COLD	0
1030	1	COLD	0
1060	1	COLD	0
2682	1	COLD	0
6137	1	COLD	0
6386	1	COLD	0
6826	1	COLD	0
6989	1	COLD	0
7047	1	COLD	0
7409	1	COLD	0
7601	1	COLD	0
7632	1	COLD	0
7792	1	COLD	0
7820	1	COLD	0
7826	1	COLD	0
8038	1	COLD	0
8048	1	COLD	0
8051	1	COLD	0
8078	1	COLD	0
8137	1	COLD	0
8159	1	COLD	0
8163	1	COLD	0
8175	1	COLD	0
8180	1	COLD	0
8205	1	COLD	0
8294	1	COLD	0
8452	1	COLD	0
8467	1	COLD	0
8615	1	COLD	0
9024	1	COLD	0
10722	1	COLD	0
11124	1	COLD	0
11419	1	COLD	0
12206	1	COLD	0
12348	1	COLD	0
12748	1	COLD	0
13187	1	COLD	0
13204	1	COLD	0
13216	1	COLD	0
13436	1	COLD	0
14328	1	COLD	0
15606	1	COLD	54
22386	1	COLD	0
24020	1	COLD	0
24473	1	COLD	0
31210	1	COLD	0
31266	1	COLD	0
33032	1	COLD	0
61024	1	COLD	0
61151	1	COLD	0
61155	1	COLD	0
61177	1	COLD	0
61252	1	COLD	0
61771	1	COLD	0
62572	1	COLD	0
520108	1	COLD	0
638024	1	COLD	0
641256	1	COLD	0
778574	1	COLD	0
1549778	1	COLD	0
1550470	1	COLD	0
5352539	1	COLD	0
5355850	1	COLD	0
5363233	1	COLD	0
5367698	1	COLD	0
6114390	1	COLD	0
16220109	1	COLD	0
243	1	SOUR	48
454	1	SOUR	54
679	1	SOUR	0
1030	1	SOUR	0
1060	1	SOUR	71
2682	1	SOUR	0
6137	1	SOUR	100
6386	1	SOUR	0
6826	1	SOUR	74
6989	1	SOUR	0
7047	1	SOUR	0
7409	1	SOUR	0
7601	1	SOUR	0
7632	1	SOUR	0
7792	1	SOUR	0
7820	1	SOUR	0
7826	1	SOUR	0
8038	1	SOUR	0
8048	1	SOUR	0
8051	1	SOUR	0
8078	1	SOUR	0
8137	1	SOUR	0
8159	1	SOUR	0
8163	1	SOUR	100
8175	1	SOUR	0
8180	1	SOUR	65
8205	1	SOUR	0
8294	1	SOUR	0
8452	1	SOUR	0
8467	1	SOUR	0
8615	1	SOUR	0
9024	1	SOUR	0
10722	1	SOUR	0
11124	1	SOUR	0
11419	1	SOUR	0
12206	1	SOUR	96
12348	1	SOUR	0
12748	1	SOUR	21
13187	1	SOUR	0
13204	1	SOUR	0
13216	1	SOUR	0
13436	1	SOUR	0
14328	1	SOUR	0
15606	1	SOUR	0
22386	1	SOUR	0
24020	1	SOUR	0
24473	1	SOUR	0
31210	1	SOUR	0
31266	1	SOUR	0
33032	1	SOUR	0
61024	1	SOUR	0
61151	1	SOUR	0
61155	1	SOUR	0
61177	1	SOUR	0
61252	1	SOUR	0
61771	1	SOUR	0
62572	1	SOUR	0
520108	1	SOUR	0
638024	1	SOUR	0
641256	1	SOUR	0
778574	1	SOUR	83
1549778	1	SOUR	7
1550470	1	SOUR	0
5352539	1	SOUR	12
5355850	1	SOUR	0
5363233	1	SOUR	0
5367698	1	SOUR	0
6114390	1	SOUR	0
16220109	1	SOUR	29
243	1	BURNT	0
454	1	BURNT	0
679	1	BURNT	0
1030	1	BURNT	0
1060	1	BURNT	0
2682	1	BURNT	78
6137	1	BURNT	0
6386	1	BURNT	0
6826	1	BURNT	0
6989	1	BURNT	0
7047	1	BURNT	0
7409	1	BURNT	0
7601	1	BURNT	0
7632	1	BURNT	0
7792	1	BURNT	0
7820	1	BURNT	0
7826	1	BURNT	0
8038	1	BURNT	0
8048	1	BURNT	0
8051	1	BURNT	0
8078	1	BURNT	0
8137	1	BURNT	0
8159	1	BURNT	0
8163	1	BURNT	0
8175	1	BURNT	0
8180	1	BURNT	0
8205	1	BURNT	0
8294	1	BURNT	0
8452	1	BURNT	0
8467	1	BURNT	0
8615	1	BURNT	0
9024	1	BURNT	0
10722	1	BURNT	0
11124	1	BURNT	0
11419	1	BURNT	0
12206	1	BURNT	0
12348	1	BURNT	0
12748	1	BURNT	0
13187	1	BURNT	0
13204	1	BURNT	0
13216	1	BURNT	0
13436	1	BURNT	0
14328	1	BURNT	0
15606	1	BURNT	0
22386	1	BURNT	0
24020	1	BURNT	0
24473	1	BURNT	0
31210	1	BURNT	0
31266	1	BURNT	0
33032	1	BURNT	0
61024	1	BURNT	0
61151	1	BURNT	0
61155	1	BURNT	0
61177	1	BURNT	0
61252	1	BURNT	0
61771	1	BURNT	0
62572	1	BURNT	0
520108	1	BURNT	0
638024	1	BURNT	0
641256	1	BURNT	0
778574	1	BURNT	0
1549778	1	BURNT	0
1550470	1	BURNT	0
5352539	1	BURNT	0
5355850	1	BURNT	0
5363233	1	BURNT	82
5367698	1	BURNT	0
6114390	1	BURNT	0
16220109	1	BURNT	0
243	1	ACID	0
454	1	ACID	0
679	1	ACID	0
1030	1	ACID	0
1060	1	ACID	0
2682	1	ACID	0
6137	1	ACID	0
6386	1	ACID	0
6826	1	ACID	0
6989	1	ACID	17
7047	1	ACID	0
7409	1	ACID	0
7601	1	ACID	0
7632	1	ACID	0
7792	1	ACID	0
7820	1	ACID	76
7826	1	ACID	0
8038	1	ACID	56
8048	1	ACID	0
8051	1	ACID	77
8078	1	ACID	0
8137	1	ACID	0
8159	1	ACID	0
8163	1	ACID	0
8175	1	ACID	0
8180	1	ACID	0
8205	1	ACID	0
8294	1	ACID	0
8452	1	ACID	0
8467	1	ACID	0
8615	1	ACID	9
9024	1	ACID	0
10722	1	ACID	0
11124	1	ACID	5
11419	1	ACID	69
12206	1	ACID	0
12348	1	ACID	0
12748	1	ACID	0
13187	1	ACID	0
13204	1	ACID	0
13216	1	ACID	27
13436	1	ACID	18
14328	1	ACID	0
15606	1	ACID	0
22386	1	ACID	0
24020	1	ACID	0
24473	1	ACID	0
31210	1	ACID	0
31266	1	ACID	0
33032	1	ACID	0
61024	1	ACID	0
61151	1	ACID	0
61155	1	ACID	0
61177	1	ACID	0
61252	1	ACID	0
61771	1	ACID	7
62572	1	ACID	54
520108	1	ACID	0
638024	1	ACID	0
641256	1	ACID	0
778574	1	ACID	0
1549778	1	ACID	0
1550470	1	ACID	0
5352539	1	ACID	0
5355850	1	ACID	0
5363233	1	ACID	0
5367698	1	ACID	0
6114390	1	ACID	0
16220109	1	ACID	0
243	1	WARM	0
454	1	WARM	0
679	1	WARM	0
1030	1	WARM	0
1060	1	WARM	0
2682	1	WARM	0
6137	1	WARM	0
6386	1	WARM	0
6826	1	WARM	0
6989	1	WARM	0
7047	1	WARM	0
7409	1	WARM	0
7601	1	WARM	0
7632	1	WARM	0
7792	1	WARM	0
7820	1	WARM	0
7826	1	WARM	0
8038	1	WARM	0
8048	1	WARM	0
8051	1	WARM	0
8078	1	WARM	0
8137	1	WARM	0
8159	1	WARM	0
8163	1	WARM	0
8175	1	WARM	0
8180	1	WARM	0
8205	1	WARM	0
8294	1	WARM	0
8452	1	WARM	0
8467	1	WARM	0
8615	1	WARM	0
9024	1	WARM	0
10722	1	WARM	0
11124	1	WARM	0
11419	1	WARM	0
12206	1	WARM	0
12348	1	WARM	0
12748	1	WARM	0
13187	1	WARM	0
13204	1	WARM	0
13216	1	WARM	0
13436	1	WARM	0
14328	1	WARM	0
15606	1	WARM	0
22386	1	WARM	0
24020	1	WARM	0
24473	1	WARM	0
31210	1	WARM	0
31266	1	WARM	0
33032	1	WARM	0
61024	1	WARM	0
61151	1	WARM	0
61155	1	WARM	0
61177	1	WARM	0
61252	1	WARM	0
61771	1	WARM	0
62572	1	WARM	0
520108	1	WARM	0
638024	1	WARM	0
641256	1	WARM	0
778574	1	WARM	0
1549778	1	WARM	0
1550470	1	WARM	0
5352539	1	WARM	0
5355850	1	WARM	0
5363233	1	WARM	0
5367698	1	WARM	0
6114390	1	WARM	0
16220109	1	WARM	0
243	1	MUSKY	0
454	1	MUSKY	0
679	1	MUSKY	0
1030	1	MUSKY	0
1060	1	MUSKY	0
2682	1	MUSKY	0
6137	1	MUSKY	0
6386	1	MUSKY	0
6826	1	MUSKY	0
6989	1	MUSKY	0
7047	1	MUSKY	0
7409	1	MUSKY	76
7601	1	MUSKY	0
7632	1	MUSKY	0
7792	1	MUSKY	0
7820	1	MUSKY	0
7826	1	MUSKY	0
8038	1	MUSKY	0
8048	1	MUSKY	0
8051	1	MUSKY	0
8078	1	MUSKY	0
8137	1	MUSKY	0
8159	1	MUSKY	0
8163	1	MUSKY	100
8175	1	MUSKY	0
8180	1	MUSKY	0
8205	1	MUSKY	0
8294	1	MUSKY	0
8452	1	MUSKY	0
8467	1	MUSKY	0
8615	1	MUSKY	0
9024	1	MUSKY	0
10722	1	MUSKY	0
11124	1	MUSKY	0
11419	1	MUSKY	0
12206	1	MUSKY	96
12348	1	MUSKY	0
12748	1	MUSKY	0
13187	1	MUSKY	0
13204	1	MUSKY	0
13216	1	MUSKY	0
13436	1	MUSKY	0
14328	1	MUSKY	0
15606	1	MUSKY	0
22386	1	MUSKY	58
24020	1	MUSKY	0
24473	1	MUSKY	0
31210	1	MUSKY	0
31266	1	MUSKY	0
33032	1	MUSKY	0
61024	1	MUSKY	0
61151	1	MUSKY	0
61155	1	MUSKY	0
61177	1	MUSKY	0
61252	1	MUSKY	100
61771	1	MUSKY	0
62572	1	MUSKY	0
520108	1	MUSKY	100
638024	1	MUSKY	0
641256	1	MUSKY	0
778574	1	MUSKY	85
1549778	1	MUSKY	0
1550470	1	MUSKY	0
5352539	1	MUSKY	0
5355850	1	MUSKY	0
5363233	1	MUSKY	0
5367698	1	MUSKY	0
6114390	1	MUSKY	0
16220109	1	MUSKY	0
243	1	SWEATY	0
454	1	SWEATY	0
679	1	SWEATY	0
1030	1	SWEATY	0
1060	1	SWEATY	0
2682	1	SWEATY	79
6137	1	SWEATY	0
6386	1	SWEATY	0
6826	1	SWEATY	0
6989	1	SWEATY	0
7047	1	SWEATY	0
7409	1	SWEATY	78
7601	1	SWEATY	0
7632	1	SWEATY	0
7792	1	SWEATY	0
7820	1	SWEATY	0
7826	1	SWEATY	0
8038	1	SWEATY	0
8048	1	SWEATY	0
8051	1	SWEATY	0
8078	1	SWEATY	0
8137	1	SWEATY	0
8159	1	SWEATY	0
8163	1	SWEATY	100
8175	1	SWEATY	0
8180	1	SWEATY	0
8205	1	SWEATY	0
8294	1	SWEATY	5
8452	1	SWEATY	0
8467	1	SWEATY	0
8615	1	SWEATY	0
9024	1	SWEATY	0
10722	1	SWEATY	0
11124	1	SWEATY	0
11419	1	SWEATY	0
12206	1	SWEATY	0
12348	1	SWEATY	0
12748	1	SWEATY	0
13187	1	SWEATY	0
13204	1	SWEATY	0
13216	1	SWEATY	0
13436	1	SWEATY	0
14328	1	SWEATY	0
15606	1	SWEATY	0
22386	1	SWEATY	0
24020	1	SWEATY	0
24473	1	SWEATY	0
31210	1	SWEATY	0
31266	1	SWEATY	0
33032	1	SWEATY	0
61024	1	SWEATY	0
61151	1	SWEATY	0
61155	1	SWEATY	0
61177	1	SWEATY	0
61252	1	SWEATY	100
61771	1	SWEATY	0
62572	1	SWEATY	0
520108	1	SWEATY	100
638024	1	SWEATY	0
641256	1	SWEATY	0
778574	1	SWEATY	0
1549778	1	SWEATY	0
1550470	1	SWEATY	0
5352539	1	SWEATY	0
5355850	1	SWEATY	0
5363233	1	SWEATY	0
5367698	1	SWEATY	0
6114390	1	SWEATY	0
16220109	1	SWEATY	0
243	1	AMMONIA/URINOUS	0
454	1	AMMONIA/URINOUS	0
679	1	AMMONIA/URINOUS	0
1030	1	AMMONIA/URINOUS	0
1060	1	AMMONIA/URINOUS	0
2682	1	AMMONIA/URINOUS	0
6137	1	AMMONIA/URINOUS	0
6386	1	AMMONIA/URINOUS	0
6826	1	AMMONIA/URINOUS	0
6989	1	AMMONIA/URINOUS	0
