CID,SMILES,Estimated Log Kow ,Measured Log Kow  ,Estimated BP (oC),Estimated MP (oC),Estimated VP (mm Hg),Estimated VP (Pa),Estimated Water Sol. (mg/L),HLC (atm-m3/mole); Group Method (Based on Estimated Data),HLC (atm-m3/mole); Bond Method (Based on Estimated Data),Estimated Koc,Estimated Log Koc,BIOWIN1 (Linear Model) Probability ,BIOWIN2 (Non-Linear Model) Probability ,Estimated Atmospheric Oxidation (half-life-days),Indirect Photolysis (Half-Life-days); Measured,Estimated Ozone Reaction (half-life-days),Measured Ozone Reaction (half-life-days),Estimated Hydrolysis (half-life-days),Estimated BCF,Estimated Log BCF,Estimated Volatilization from Model River (half-life-hours),Estimated Volatilization from Model Lake (half-life-hours),STP Biodegradation (%),STP Sludge Adsorption (%),STP Volatilization (%),STP Total Removal (%),AWS_Air,AWS_Water,AWS_Soil,AWS_Sediments,Paws Score-Air,Paws-Score-Water,Paws-Score-Soil,Paws-Score-Sediments,Paws Score (Total),PEQC/aws (half-life-days),PEQC/aws Score,B Score (BCF),B Score (Log Kow),EXPaws Score (BCF),EXPaws Score (Log Kow),EXPEQC/aws Score (BCF),EXPEQC/aws Score (Log Kow),BIOWIN5 (Linear MITI Model) Probability,BIOWIN6 (Non-Linear MITI Model) Probability,BIOWIN3 numerical output ,BIOWIN4 numerical output,Ready biodegradability prediction,STP Total Removal (%) - default,STP Biodegradation (%) - default,STP Adsorption (%) - default,STP Volatilization (%) - default,Subcooled Liquid VP,WATERNT frag Water Sol estimate,KOAWIN LogKoa estimate,KOAWIN LogKoa measured,KOAWIN Log Kaw,AEROWIN Mackay Kp,AEROWIN Octanol/air Kp,AEROWIN Junge-Pankow phi,AEROWIN Mackay phi,AEROWIN Octanol/air phi
356,CCCCCCCC ,4.27,5.18,119.87,-68.45,14.8,1973.0,1.152,3.38,3.01,436.8,2.64,0.91,0.9938,1.291,1.232,0.0,,,1216.0,3.085,1.091,101.5,0.15,51.46,48.33,99.94,31.8,66.1,1.27,0.867,117532,42965,826,564,161886,3.1,56061,621600,1000000,100628,161886,34847,56061,0.6696,0.8634,3.5434,4.2211,YES ,99.94,0.15,51.46,48.33,14.1,0.8731,3.062,3.35,2.118,1.6e-09,5.5e-10,5.76e-08,1.28e-07,4.4e-08
379,C(CCCCCCC)(=O)O ,3.03,3.05,245.06,48.39,0.0488,6.506,495.9,2.34e-06,3e-06,28.94,1.461,0.86,0.9692,1.281,,0.0,,,3.162,0.5,789.5,8713.0,0.13,6.01,0.05,6.18,3.39,31.6,64.9,0.0881,13028,20540,42185,57,75810,11.7,212879,1897,610000,144,46244,404,129856,0.7612,0.8903,3.5434,4.2943,YES ,6.18,0.13,6.01,0.05,0.00371,1110.8,7.488,,-4.438,6.06e-06,7.55e-06,0.000219,0.000485,0.000604
454,C(CCCCCCC)=O ,2.78,,175.95,-31.08,1.49,198.7,394.3,0.000477,0.000371,19.78,1.296,1.0796,1.0,0.3379,,0.0,,,31.75,1.502,2.445,121.6,0.1,3.63,17.97,21.7,4.31,46.5,49.1,0.124,4369,46500,49100,124,100093,7.0,127273,19050,361536,1907,36187,2425,46014,1.039,0.9847,3.2365,4.1285,YES ,21.7,0.1,3.63,17.97,1.18,831.88,4.457,5.36,-1.677,1.91e-08,5.62e-08,6.89e-07,1.53e-06,4.5e-06
460,C1(=CC=CC=C1O)OC ,1.34,1.32,211.43,25.15,0.113,15.07,7226.0,5.35e-07,3.32e-08,122.4,2.088,0.9362,0.9879,0.359,,0.0,,,3.451,0.538,544.7,6036.0,0.09,1.84,0.07,2.0,0.811,27.3,71.7,0.183,873,27300,71700,183,100056,18.8,340909,2071,12536,207,1254,706,4274,0.6356,0.7778,2.9231,3.7854,YES ,2.0,0.09,1.84,0.07,0.121,28462.0,5.629,,-4.309,1.86e-07,1.04e-07,6.72e-06,1.49e-05,8.36e-06
650,CC(C(C)=O)=O ,-1.34,-1.34,117.7,-41.7,70.2,9359.0,1000000.0,,1.97e-07,1.0,0.0,0.7066,0.8565,52.43,44.94,0.0,,,3.162,0.5,41.79,533.7,0.09,1.74,0.74,2.57,10.0,43.7,46.2,0.0818,100000,43700,46200,82,189982,15.0,271970,1897,27,360,5,516,7,0.4568,0.5198,3.0089,3.7235,NO ,2.57,0.09,1.74,0.74,56.8,95653.0,1.925,,-3.265,3.96e-10,2.07e-11,1.43e-08,3.17e-08,1.65e-09
660,O2C1=CC=CC=C1CCC2=O ,0.97,,288.73,39.96,0.00827,1.103,11500.0,,3.15e-05,125.1,2.097,0.9059,0.9962,2.112,,0.0,,,3.162,0.5,23.87,362.4,0.09,1.77,1.69,3.55,3.62,25.9,70.3,0.176,22936,25900,70300,176,119312,18.2,330303,1897,5600,226,668,627,1850,0.612,0.7836,2.9371,3.7944,YES ,3.55,0.09,1.77,1.69,0.00852,814.09,3.86,,-2.89,2.64e-06,1.78e-09,9.54e-05,0.000211,1.42e-07
679,CS(=O)C ,-1.22,-1.35,128.63,-49.71,0.622,82.93,1000000.0,,4.96e-08,2.082,0.318,0.7104,0.8698,0.1722,0.1725,0.0,,,3.162,0.5,343000.0,3740000.0,0.09,1.75,0.0,1.85,0.0325,37.0,62.8,0.071,17,37000,62800,71,99888,23.9,434091,1897,27,190,3,824,12,0.4805,0.5766,3.0265,3.735,NO ,1.85,0.09,1.75,0.0,0.61,1000000.0,5.859,4.96,-7.209,3.69e-08,2.24e-08,1.33e-06,2.95e-06,1.79e-06
702,C(C)O ,-0.14,-0.31,65.11,-87.84,60.9,8119.0,792000.0,4.88e-06,5.67e-06,1.045,0.019,0.8843,0.9699,2.991,3.271,0.0,,,3.162,0.5,80.17,931.5,0.09,1.75,0.28,2.13,7.4,40.6,51.9,0.0718,72615,26390,33735,47,132786,10.4,188636,1897,294,252,39,358,55,0.786,0.9339,3.2573,3.9107,YES ,2.13,0.09,1.75,0.28,59.3,452000.0,3.379,3.25,-3.689,3.79e-10,4.37e-10,1.37e-08,3.04e-08,3.49e-08
750,NCC(=O)O ,-3.41,-3.21,375.67,246.17,8.19e-08,1.09e-05,626000.0,,1.12e-09,1.0,0.0,0.9383,0.9758,0.3815,,0.0,,,3.162,0.5,453000.0,4940000.0,0.09,1.75,0.0,1.85,0.0408,33.7,66.2,0.0596,47,21905,43030,39,65020,16.0,291667,1897,0,123,0,553,0,0.7527,0.8373,3.4223,4.1683,YES ,1.85,0.09,1.75,0.0,3.22e-05,770000.0,4.129,,-7.339,0.000699,3.3e-09,0.0246,0.0529,2.64e-07
753,OCC(O)CO ,-1.65,-1.76,230.65,19.44,7.98e-05,0.01064,1000000.0,1.51e-15,6.35e-09,1.0,0.0,1.1799,0.9937,0.5709,,0.0,,,3.162,0.5,32500.0,354000.0,0.09,1.75,0.0,1.85,0.484,35.3,64.2,0.0624,829,22945,41730,41,65545,14.4,262121,1897,10,124,1,497,3,0.9697,0.9744,3.4756,4.1032,YES ,1.85,0.09,1.75,0.0,0.000168,1000000.0,4.39,,-6.15,0.000134,6.03e-09,0.00481,0.0106,4.82e-07
807,II ,1.86,2.49,546.86,219.18,0.127,16.93,168.4,0.0245,,13.22,1.121,0.6267,0.3554,0.0,,0.0,,78200000000.0,20.41,1.31,1.664,151.7,0.03,1.16,89.37,90.55,51.2,47.0,1.63,0.119,512000,164500,5705,417,682622,7.0,127273,12246,185418,8359,126570,1559,23599,-0.0429,0.0082,2.6383,3.4816,NO ,90.55,0.03,1.16,89.37,1.75,3155.4,,,,1.29e-08,,4.64e-07,1.03e-06,
875,O=C(C(C(C(=O)O)O)O)O ,-1.0,,355.84,130.2,9.68e-08,1.29e-05,1000000.0,,1.32e-10,1.0,0.0,1.1389,0.9879,0.7724,,0.0,,,3.162,0.5,5430000.0,59300000.0,0.09,1.75,0.0,1.85,0.0268,26.4,73.5,0.0345,62,5280,14700,7,20049,5.1,93182,1897,60,38,1,177,6,0.8489,0.9064,3.9166,4.6612,YES ,1.85,0.09,1.75,0.0,1.68e-06,1000000.0,7.268,,-8.268,0.0134,4.55e-06,0.326,0.517,0.000364
887,CO ,-0.63,-0.77,39.35,-101.0,119.0,15900.0,1000000.0,3.62e-06,4.27e-06,1.0,0.0,0.891,0.9752,17.36,11.33,0.0,,,3.162,0.5,73.41,848.3,0.09,1.75,0.26,2.1,10.3,39.3,50.4,0.0695,103000,25545,32760,45,161350,10.9,197727,1897,102,306,16,375,20,0.7784,0.9324,3.2883,3.931,YES ,2.1,0.09,1.75,0.26,127.0,1000000.0,2.96,2.88,-3.73,1.77e-10,1.86e-10,6.4e-09,1.42e-08,1.49e-08
957,C(CCCCCCC)O ,2.81,3.0,200.67,-14.46,0.099,13.2,814.0,3.88e-05,3.1e-05,38.28,1.583,0.9527,0.984,0.8528,0.7428,0.0,,,44.3,1.646,28.44,405.9,0.12,5.52,1.28,6.92,2.93,31.7,65.3,0.0984,6529,20605,42445,64,69643,10.7,194697,26580,600000,1851,41786,5175,116818,0.8322,0.9425,3.3697,4.0584,YES ,6.92,0.12,5.52,1.28,0.0794,766.96,5.999,6.03,-2.999,2.83e-07,2.63e-07,1.02e-05,2.27e-05,2.1e-05
962,O ,-1.38,-1.38,439.86,146.26,1.36e-07,1.81e-05,1000000.0,,8.41e-09,13.22,1.121,0.739,0.9401,0.0,,0.0,,,3.162,0.5,67200.0,67200.0,0.09,1.75,0.0,1.85,0.233,29.2,70.5,0.0697,2330,29200,70500,70,102100,26.8,487121,1897,25,194,3,924,12,0.6585,0.8814,3.1594,3.8217,YES ,1.85,0.09,1.75,0.0,2.31e-06,31979.0,5.084,,-6.464,0.00974,2.98e-08,0.26,0.438,2.38e-06
994,NC(CC1=CC=CC=C1)C(=O)O ,-1.28,-1.38,392.57,248.87,2.62e-07,3.49e-05,9357.0,,1.21e-10,54.05,1.733,1.0782,0.9918,0.2422,,0.0,,,3.162,0.5,6270000.0,68400000.0,0.09,1.75,0.0,1.85,0.00231,21.6,78.3,0.0875,2,21600,78300,88,99989,30.0,545455,1897,25,190,3,1035,14,0.3699,0.2656,3.1703,3.9746,NO ,1.85,0.09,1.75,0.0,1.26e-05,3026.8,6.869,,-8.309,0.00179,1.82e-06,0.0606,0.125,0.000145
1001,C(CC1=CC=CC=C1)N ,1.34,1.41,203.81,10.89,0.409,54.53,63300.0,1.81e-07,8.12e-07,498.2,2.697,1.0264,0.9916,0.2839,,0.0,,,3.957,0.597,3562.0,39000.0,0.09,1.86,0.01,1.96,0.533,23.8,75.2,0.466,454,23800,75200,466,99920,20.7,375758,2374,15422,237,1541,892,5795,0.4197,0.413,2.903,3.6525,NO ,1.96,0.09,1.86,0.01,0.373,10115.0,5.889,,-4.479,6.03e-08,1.9e-07,2.18e-06,4.83e-06,1.52e-05
1030,C(C(C)O)O ,-0.78,-0.92,155.15,-33.01,0.111,14.8,811000.0,1.31e-10,1.74e-07,1.0,0.0,1.0288,0.9847,0.8343,0.8913,0.0,,,3.162,0.5,39600.0,432000.0,0.09,1.75,0.0,1.85,0.397,34.5,65.0,0.061,1062,22425,42250,40,65776,15.2,275758,1897,72,125,5,523,20,0.8072,0.9362,3.3509,3.9968,YES ,1.85,0.09,1.75,0.0,0.129,1000000.0,5.358,,-6.278,1.74e-07,5.6e-08,6.3e-06,1.4e-05,4.48e-06
1031,C(CC)O ,0.35,0.25,89.96,-74.95,23.2,3093.0,272000.0,6.89e-06,7.52e-06,1.904,0.28,0.8777,0.9635,1.953,1.934,0.0,,,3.162,0.5,62.04,741.9,0.09,1.76,0.42,2.26,4.29,44.9,50.7,0.0857,24890,44900,50700,86,120576,14.5,263636,1897,1067,229,129,500,281,0.7937,0.9354,3.2263,3.8905,YES ,2.26,0.09,1.76,0.42,21.0,171000.0,3.769,3.71,-3.519,1.07e-09,1.26e-09,3.87e-08,8.57e-08,1.01e-07
1032,C(CC)(=O)O ,0.58,0.33,145.02,-8.99,6.04,805.3,174000.0,4.15e-07,7.27e-07,1.44,0.158,0.785,0.9309,7.707,8.767,0.0,,,3.162,0.5,1133.0,12400.0,0.09,1.76,0.03,1.88,6.08,37.1,56.8,0.0662,60800,24115,36920,43,121878,12.4,225758,1897,1283,231,156,428,290,0.7227,0.8777,3.4001,4.1264,YES ,1.88,0.09,1.76,0.03,3.53,276000.0,5.07,,-4.74,6.37e-09,2.88e-08,2.3e-07,5.1e-07,2.31e-06
1049,N1=CC=CC=C1 ,0.8,0.65,113.36,-44.54,19.3,2573.0,730000.0,6e-06,7.05e-06,71.72,1.856,0.5553,0.5615,28.91,28.91,0.0,,,3.162,0.5,48.25,600.9,0.09,1.76,0.61,2.47,6.7,27.7,65.5,0.132,67000,27700,65500,132,160332,19.1,347727,1897,2680,304,430,660,932,0.4844,0.5946,2.8102,3.7149,NO ,2.47,0.09,1.76,0.61,20.8,248000.0,3.997,,-3.347,1.08e-09,2.44e-09,3.91e-08,8.65e-08,1.95e-07
1060,C(C(=O)C)(=O)O ,-1.24,,186.79,28.17,0.693,92.39,1000000.0,,2.18e-09,1.0,0.0,0.7783,0.9169,17.2,,0.0,,,3.162,0.5,170000.0,1860000.0,0.09,1.75,0.0,1.85,0.112,33.5,66.3,0.0593,1120,21775,43095,39,66029,16.2,294697,1897,35,125,2,559,10,0.6317,0.7572,3.3692,4.1063,YES ,1.85,0.09,1.75,0.0,1.29,1000000.0,5.639,,-6.879,1.74e-08,1.07e-07,6.3e-07,1.4e-06,8.55e-06
1068,CSC ,0.92,,42.52,-107.65,479.0,63900.0,22500.0,0.0019,0.000786,21.73,1.337,0.718,0.8934,2.799,2.219,0.0,,,3.162,0.5,1.091,77.99,0.06,1.19,39.34,40.59,24.2,49.3,26.4,0.135,161097,49300,26400,135,236932,5.8,104545,1897,4991,450,1182,198,522,0.5281,0.6837,3.0619,3.7581,YES ,40.59,0.06,1.19,39.34,502.0,19986.0,2.102,,-1.182,4.48e-11,3.1e-11,1.62e-09,3.59e-09,2.48e-09
1110,C(CCC(=O)O)(=O)O ,-0.75,-0.59,280.41,83.27,0.000108,0.0144,808000.0,4.06e-13,5.41e-12,7.33,0.865,0.8367,0.932,3.871,,0.0,,,3.162,0.5,1780000000.0,19400000000.0,0.09,1.76,0.0,1.85,1.19e-05,29.3,70.7,0.0587,0,19045,45955,38,65038,17.0,309848,1897,154,123,10,588,48,0.822,0.9042,3.6674,4.4485,YES ,1.85,0.09,1.76,0.0,7.82e-06,405000.0,10.246,,-10.836,0.00288,0.00433,0.0941,0.187,0.257
1136,CC1=C(SC=N1)CCO ,1.11,,259.88,62.5,0.00171,0.228,9081.0,,2.27e-10,35.13,1.546,0.9474,0.9626,1.419,,0.0,,,1.401,0.146,3090000.0,33700000.0,0.09,1.81,0.0,1.9,0.0044,23.6,76.3,0.0776,19,23600,76300,78,99996,29.2,531061,841,7729,84,773,446,4105,0.4906,0.5319,2.893,3.6335,NO ,1.9,0.09,1.81,0.0,0.00171,67435.0,9.142,,-8.032,1.32e-05,0.00034,0.000475,0.00105,0.0265
1183,O=CC1=CC(=C(O)C=C1)OC ,1.05,1.21,274.3,71.55,0.000447,0.0596,6875.0,2.81e-09,8.27e-11,10.0,1.0,1.2075,1.0,0.3912,,0.0,,,2.92,0.465,336000.0,3660000.0,0.09,1.82,0.0,1.91,0.0439,30.9,69.0,0.0696,52,30900,69000,70,100021,26.0,471970,1752,9731,175,973,827,4593,0.9554,0.9555,2.8835,3.9417,YES ,1.91,0.09,1.82,0.0,0.000427,11030.0,8.266,,-7.056,5.27e-05,4.53e-05,0.0019,0.0042,0.00361
2214,CC(=O)C1=CC(=C(O)C=C1)OC ,1.02,,281.0,73.02,0.0001,0.01333,8653.0,1.09e-09,6.04e-11,43.54,1.639,0.923,0.9662,0.3911,,0.0,,,0.5672,-0.246,692000.0,7550000.0,0.09,1.8,0.0,1.89,0.0205,22.7,77.2,0.0824,24,22700,77200,82,100006,29.3,531818,340,6283,34,628,181,3341,0.6204,0.684,2.8077,3.7026,YES ,1.89,0.09,1.8,0.0,0.000777,114000.0,9.627,,-8.607,2.9e-05,0.00104,0.00104,0.00231,0.0768
